filename,source,point_size
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_36_pos_19_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_36_pos_27_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_36_pos_5_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_37_pos_14_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_37_pos_17_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_37_pos_18_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_37_pos_20_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_37_pos_24_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_37_pos_33_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_41_pos_33_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_43_pos_37_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_43_pos_8_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_47_pos_11_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_48_pos_24_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_48_pos_3_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_48_pos_39_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_48_pos_6_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_48_pos_7_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_49_pos_19_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_49_pos_30_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_49_pos_5_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_49_pos_9_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_102_pos_14_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_102_pos_3_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_102_pos_33_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_102_pos_50_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_111_pos_39_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_111_pos_48_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_122_pos_10_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_122_pos_14_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_122_pos_28_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_126_pos_29_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_126_pos_32_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_126_pos_46_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_126_pos_6_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_131_pos_1_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_131_pos_15_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_131_pos_3_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_131_pos_6_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_132_pos_11_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_132_pos_18_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_141_pos_28_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_141_pos_31_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_141_pos_66_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_143_pos_32_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_143_pos_37_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_143_pos_46_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_143_pos_7_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_145_pos_22_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_145_pos_48_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_145_pos_55_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_13_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_3_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_38_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_53_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_63_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_7_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_148_pos_9_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_15_pos_25_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_15_pos_31_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_15_pos_45_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_150_pos_29_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_150_pos_5_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_151_pos_16_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_151_pos_7_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_19_pos_29_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_19_pos_32_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_19_pos_35_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_19_pos_39_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_19_pos_48_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_19_pos_5_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_25_pos_15_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_25_pos_23_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_25_pos_27_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_25_pos_38_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_25_pos_49_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_28_pos_15_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_28_pos_51_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_37_pos_26_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_4_pos_21_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_43_pos_30_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_43_pos_38_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_48_pos_24_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_48_pos_38_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_48_pos_46_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_54_pos_22_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_54_pos_24_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_54_pos_25_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_54_pos_42_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_58_pos_15_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_58_pos_18_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_58_pos_29_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_58_pos_40_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_58_pos_8_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_6_pos_33_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_6_pos_41_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_63_pos_42_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_63_pos_6_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_77_pos_30_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_77_pos_38_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_83_pos_10_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_83_pos_30_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_83_pos_37_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_10_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_14_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_23_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_47_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_5_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_7_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_88_pos_8_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_93_pos_5_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_2ndhalf_line_94_pos_15_RLC m.png,Specimen sheets,08.5_Burgeois
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_12_pos_14_RLC m.png,Specimen sheets,20_Double_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_12_pos_22_RLC m.png,Specimen sheets,20_Double_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_14_pos_20_RLC m.png,Specimen sheets,20_Double_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_19_pos_26_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_24_pos_18_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_24_pos_9_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_26_pos_14_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_26_pos_8_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_28_pos_31_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_36_pos_11_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_36_pos_3_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_36_pos_33_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_37_pos_29_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_37_pos_5_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_38_pos_14_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_38_pos_17_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_38_pos_18_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_38_pos_20_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_41_pos_31_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_43_pos_38_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_43_pos_8_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_44_pos_14_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_45_pos_13_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_45_pos_3_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_45_pos_6_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_45_pos_7_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_45_pos_9_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_46_pos_31_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_46_pos_5_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_1sthalf_line_46_pos_9_RLC m.png,Specimen sheets,12_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_100_pos_10_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_100_pos_19_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_100_pos_3_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_100_pos_49_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_100_pos_56_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_100_pos_6_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_110_pos_33_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_110_pos_36_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_110_pos_73_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_114_pos_70_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_116_pos_13_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_116_pos_20_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_116_pos_47_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_116_pos_54_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_12_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_3_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_38_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_44_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_5_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_58_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_6_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_68_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_118_pos_8_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_120_pos_16_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_120_pos_27_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_120_pos_4_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_120_pos_47_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_120_pos_55_RLC m.png,Specimen sheets,06_Nonpareil
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_13_pos_24_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_13_pos_29_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_13_pos_43_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_18_pos_34_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_18_pos_49_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_18_pos_5_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_18_pos_59_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_2_pos_24_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_22_pos_12_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_22_pos_18_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_22_pos_21_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_22_pos_30_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_25_pos_16_RLC m.png,Specimen sheets,10_Small_Pica
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_39_pos_23_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_43_pos_28_RLC m.png,Specimen sheets,09_Long_Primer
PR-BROADSIDES-B-00076-00002-000-00001_500dpi_2ndhalf_line_43_pos_38_RLC m.png,Specimen sheets,09_Long_Primer
